id;nome;parentesco;coabita;telef;ocupacao;obs;preferencial
1;analyzing;Fantastic;false;3896;Credit Card Account;Handcrafted Plastic Shirt quantifying;false
2;open-source hybrid;Solomon Islands Dollar;false;62894;HTTP system mobile;China;false
3;South Dakota Wyoming interface;incentivize;true;58054;JSON Texas;bandwidth;true
4;compress Fantastic Global;Buckinghamshire monetize;false;89552;streamline;Interactions;true
5;granular;Quality Applications Missouri;true;8328;Gorgeous Money Market Account;Danish Krone parse;true
6;back-end Unbranded Cambridgeshire;Designer;false;44153;EXE cross-media Frozen;Syrian Pound;true
7;SDD bypassing;Algerian Dinar Fantastic Fresh Salad;true;14660;Avon;Planner;false
8;transition open-source Interactions;Pennsylvania dynamic bandwidth;false;77714;Oklahoma communities;array supply-chains Advanced;false
9;Arizona hack;Fresh payment synthesize;true;23750;seize Glen Refined;Mandatory Assistant;false
10;Designer Incredible Fresh Car Tuvalu;Senior Optional Yemeni Rial;false;52309;Savings Account;heuristic Orchestrator Naira;false
