id;activo;nome;morada;cod_p;telef;permiss_change;nif
1;true;optimal EXE optical;Synchronised Pizza;array;Quality-focused Quality Generic;true;75271
2;false;SCSI;RSS Outdoors backing up;copying;reboot;false;112
3;true;synthesizing Bedfordshire;black;Money Market Account;New York Concrete expedite;false;53998
4;true;Wooden radical Beauty;Facilitator 24/365;Sausages bypass;Directives Baht Tasty Plastic Keyboard;true;77098
5;false;Mississippi proactive Checking Account;SCSI;Technician Architect calculate;Auto Loan Account;false;2458
6;false;copying;Buckinghamshire compress;Grocery Ball Wells;partnerships Terrace Hat;true;82592
7;true;fuchsia;synthesize;deposit;XSS;true;15105
8;false;capacitor District;invoice unleash grid-enabled;groupware success program;teal Outdoors payment;false;56275
9;true;Neck Liaison;fuchsia;hack;Summit Saint Martin Kids;true;13124
10;false;Chief;Savings Account online Avon;Savings Account;Ethiopian Birr architectures;false;22554
